Entidad,tipo_de_dato,Sector,oct_22,nov_22,oct_23,nov_23
Hidalgo,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Hidalgo,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Hidalgo,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Hidalgo,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Hidalgo,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",19.1,8.2,13.1,18.8
Hidalgo,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-15.7,-34.4,15.4,14.0
Jalisco,Índice,51 Información en medios masivos,117.2,115.0,127.5,127.9
Jalisco,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Jalisco,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Jalisco,Índice,61 Servicios educativos,ND,ND,ND,ND
Jalisco,Índice,62 Servicios de salud y de asistencia social,104.6,108.5,116.4,124.0
Jalisco,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Jalisco,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,88.2,93.0,54.1,58.6
Jalisco,Variación anual del índice,51 Información en medios masivos,11.9,9.0,8.8,11.2
Jalisco,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Jalisco,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Jalisco,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Jalisco,Variación anual del índice,62 Servicios de salud y de asistencia social,-0.4,5.6,11.2,14.3
Jalisco,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Jalisco,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.2,51.0,-38.7,-37.0
México,Índice,51 Información en medios masivos,37.9,42.2,41.4,37.6
México,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
México,Índice,"54 Servicios profesionales, científicos y técnicos",115.5,111.7,117.1,120.5
México,Índice,61 Servicios educativos,90.6,87.9,95.3,91.3
México,Índice,62 Servicios de salud y de asistencia social,91.1,95.2,90.7,84.4
México,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
México,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,98.5,104.0,121.5,124.5
México,Variación anual del índice,51 Información en medios masivos,-14.2,14.9,9.2,-10.8
México,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
México,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",34.4,4.1,1.4,7.8
México,Variación anual del índice,61 Servicios educativos,13.3,13.8,5.2,3.9
México,Variación anual del índice,62 Servicios de salud y de asistencia social,10.9,8.8,-0.5,-11.4
México,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
México,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,9.5,22.6,23.3,19.7
Michoacán de Ocampo,Índice,51 Información en medios masivos,54.1,60.8,65.5,61.1
Michoacán de Ocampo,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Michoacán de Ocampo,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Michoacán de Ocampo,Índice,61 Servicios educativos,ND,ND,ND,ND
Michoacán de Ocampo,Índice,62 Servicios de salud y de asistencia social,103.8,99.2,107.5,103.9
Michoacán de Ocampo,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Michoacán de Ocampo,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,86.9,104.0,106.1,113.6
Michoacán de Ocampo,Variación anual del índice,51 Información en medios masivos,-11.1,30.2,21.2,0.6
Michoacán de Ocampo,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Michoacán de Ocampo,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Michoacán de Ocampo,Variación anual del índice,61 Servicios educativos,ND,ND,ND,ND
Michoacán de Ocampo,Variación anual del índice,62 Servicios de salud y de asistencia social,7.7,-7.7,3.6,4.7
Michoacán de Ocampo,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Michoacán de Ocampo,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,16.0,18.9,22.1,9.2
Morelos,Índice,51 Información en medios masivos,49.9,71.8,64.9,65.3
Morelos,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Morelos,Índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Morelos,Índice,61 Servicios educativos,95.8,88.6,80.5,76.2
Morelos,Índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Morelos,Índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Morelos,Índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,52.0,59.3,64.1,72.7
Morelos,Variación anual del índice,51 Información en medios masivos,9.2,63.8,30.0,-9.0
Morelos,Variación anual del índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
Morelos,Variación anual del índice,"54 Servicios profesionales, científicos y técnicos",ND,ND,ND,ND
Morelos,Variación anual del índice,61 Servicios educativos,19.0,16.2,-15.9,-14.0
Morelos,Variación anual del índice,62 Servicios de salud y de asistencia social,ND,ND,ND,ND
Morelos,Variación anual del índice,"71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",ND,ND,ND,ND
Morelos,Variación anual del índice,72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,-38.6,-23.4,23.2,22.6
Nayarit,Índice,51 Información en medios masivos,47.4,55.3,63.0,58.2
Nayarit,Índice,53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,ND,ND,ND,ND
